Figure Order,Figure 4,,,,,,,,,
Figure Title,State-Level Asian Population by Country of Origin,,,,,,,,,
Source,1980 and 1990 US Census; 2019 American Community Survey,,,,,,,,,
Note,Maps plot the share of each origin-group's immigrant population residing in each US state. Shading reflects geographic concentration of origin group across states. Darker shades indicate higher share of origin group residing in that state.,,,,,,,,,
,,,,,,,,,,
Subtitle,Asian population by origin group,,,,,,,,,
Legend Title,Population,,,,,,,,,
Legend Units,Population in Thousands,,,,,,,,,
Legend Group 1 (lightest),0,,,,,,,,,
Legend Group 2,1-5K,,,,,,,,,
Legend Group 3,5K-25K,,,,,,,,,
Legend Group 4,25K-100K,,,,,,,,,
Legend Group 5 (darkest),100K+,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
origin_group,year,row_position,column_position,color_scheme,legend_description,legend_units,high_concentration_states,medium_concentration_states,low_concentration_states,geographic_concentration_description
Chinese,1980,1,1,Pink/Red gradient,Share of Chinese immigrants residing in each state,Population of origin group,California; Hawaii; New York,Illinois; Washington; New Jersey; Texas,Most interior states (Midwest; Mountain states; South),Heavy concentration on West Coast (CA dominant); secondary concentration in NY and HI; minimal presence in most interior states
Chinese,1990,1,2,Pink/Red gradient,Share of Chinese immigrants residing in each state,Population of origin group,California; New York; Hawaii,Washington; New Jersey; Illinois; Texas; Massachusetts,Most interior and Southern states,CA and NY remain dominant; slight geographic dispersal relative to 1980; HI share somewhat diminished
Chinese,2019,1,3,Pink/Red gradient,Share of Chinese immigrants residing in each state,Population of origin group,California; New York,Washington; New Jersey; Texas; Massachusetts; Illinois,Most Southern and Plains states,More dispersed than earlier years but CA and NY still dominant; notable presence in Pacific Northwest and Mid-Atlantic
Filipino,1980,2,1,Purple/Violet gradient,Share of Filipino immigrants residing in each state,Population of origin group,California; Hawaii,Illinois; Washington; New Jersey; Nevada,Most interior and Eastern states,Strongest West Coast and Hawaii concentration of any group; CA and HI very dark
Filipino,1990,2,2,Purple/Violet gradient,Share of Filipino immigrants residing in each state,Population of origin group,California; Hawaii,Washington; Illinois; Nevada; New Jersey; Texas,Most Eastern and Plains states,CA dominance persists; HI share remains notable; slight eastward dispersal
Filipino,2019,2,3,Purple/Violet gradient,Share of Filipino immigrants residing in each state,Population of origin group,California,Hawaii; Washington; Nevada; Illinois; Texas; New Jersey,Most interior and Southeastern states,CA still highly dominant; HI and Pacific Northwest maintain presence; some Southwest growth (NV)
Indian,1980,3,1,Green gradient,Share of Indian immigrants residing in each state,Population of origin group,California; New York; New Jersey; Illinois,Texas; Michigan; Ohio; Pennsylvania; Maryland,Most Southern and Mountain states,More evenly spread across coastal and Midwestern metro areas relative to other Asian groups
Indian,1990,3,2,Green gradient,Share of Indian immigrants residing in each state,Population of origin group,California; New York; New Jersey,Texas; Illinois; Michigan; Florida; Maryland; Pennsylvania,Plains; Mountain; and most Southern states,Growing concentration in tech-heavy states; NJ-NY corridor remains strong; TX emergence notable
Indian,2019,3,3,Green gradient,Share of Indian immigrants residing in each state,Population of origin group,California; New Jersey; Texas,New York; Illinois; Washington; Georgia; Michigan; Maryland; Virginia,Plains and most Mountain states,Most dispersed distribution; strong concentration in tech corridors (CA; TX; WA); NJ corridor persists; notable Southeast growth
Japanese,1980,4,1,Blue gradient,Share of Japanese immigrants residing in each state,Population of origin group,California; Hawaii,Washington; Oregon; Colorado; Illinois; New York,Most Southern; Plains; and Eastern states,Among the most geographically concentrated groups; CA and HI account for a very large share; West Coast dominance
Japanese,1990,4,2,Blue gradient,Share of Japanese immigrants residing in each state,Population of origin group,California; Hawaii,Washington; Oregon; New York; Illinois; Colorado,Most interior and Southern states,Geographic distribution relatively stable versus 1980; CA and HI still dominant; modest eastward spread
Japanese,2019,4,3,Blue gradient,Share of Japanese immigrants residing in each state,Population of origin group,California; Hawaii,Washington; New York; Texas; Oregon; Illinois,Most Plains; Southeast; and Mountain states,Distribution still concentrated on West Coast and HI; gradual slight dispersal; TX grows modestly
Korean,1980,5,1,Yellow/Gold gradient,Share of Korean immigrants residing in each state,Population of origin group,California; New York; New Jersey,Illinois; Maryland; Virginia; Washington; Hawaii,Most Southern; Plains; and Mountain states,Bicoastal concentration (CA and NY-NJ corridor) is hallmark of Korean distribution
Korean,1990,5,2,Yellow/Gold gradient,Share of Korean immigrants residing in each state,Population of origin group,California; New York; New Jersey,Illinois; Virginia; Maryland; Washington; Texas; Georgia,Most interior and Plains states,CA and NY/NJ remain dominant; DC metro (VA/MD) emerging; some Southeast growth
Korean,2019,5,3,Yellow/Gold gradient,Share of Korean immigrants residing in each state,Population of origin group,California,New York; New Jersey; Washington; Virginia; Georgia; Texas; Maryland,Most Plains; Mountain; and Deep South states,CA share still large but reduced relative dominance; NY-NJ corridor persists; notable growth in Southeast (GA) and DC metro
Vietnamese,1980,6,1,Teal/Dark green gradient,Share of Vietnamese immigrants residing in each state,Population of origin group,California; Texas,Virginia; Washington; Louisiana; Florida; Illinois,Most Northern Plains; Mountain; and New England states,Reflects post-1975 refugee resettlement; CA and TX dominant; some Southern and Gulf Coast presence
Vietnamese,1990,6,2,Teal/Dark green gradient,Share of Vietnamese immigrants residing in each state,Population of origin group,California; Texas,Washington; Virginia; Louisiana; Florida; Minnesota; Oklahoma; Kansas,Most Mountain and Northern Plains states,CA grows stronger; TX remains secondary; notable presence across South and mid-South due to refugee programs; some Midwest concentration
Vietnamese,2019,6,3,Teal/Dark green gradient,Share of Vietnamese immigrants residing in each state,Population of origin group,California,Texas; Washington; Virginia; Florida; Georgia; Minnesota; Louisiana,Most Mountain; Plains; and New England states,CA still dominant; TX significant secondary hub; notable spread across South Atlantic and Pacific Northwest; some Midwest presence maintained
